Company Name,Required Skills,More Info,Published Date
virtusa consulting services pvt. ltd.,"pythondevelopment, objectorientedprogramming, testdrivendevelopment, databaseconnectors, linuxenvironment, git, api",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-8-to-11-yrs-jobid-PRoGGHjEoVVzpSvf__PLUS__uAgZw==&source=srp,Posted 4 days ago
virtusa consulting services pvt. ltd.,"dataanalysis, communication, problemsolving, microsoftoffice, visualizationtools, dataanalytics, dataanalyst, sql, tableau, writtencommunication",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-5-to-8-yrs-jobid-uQ47cYpy12NzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
virtusa consulting services pvt. ltd.,"pythonprogramming, dataanalysis, datavisualization, databasemanagement, requirementsgathering, datamining, sql",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-6-to-9-yrs-jobid-Reaxnq7jZr9zpSvf__PLUS__uAgZw==&source=srp,Posted a month ago
virtusa consulting services pvt. ltd.,"python, javascript, sql, restfulwebservices, systemdesign, css, git, html",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-3-to-5-yrs-jobid-pVT1BiWg5ERzpSvf__PLUS__uAgZw==&source=srp,Posted a month ago
CONNECTING 2 WORK,"rest, python, django, mongodb",https://www.timesjobs.com/job-detail/python-trainer-connecting-2-work-calicut-kozhikode-0-to-3-yrs-jobid-MFJXBwZBWVhzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
east india securities ltd.,"python, hadoop, machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-O9JSjUglX3hzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
LAKSH HUMAN RESOURCE,"rest, python, django, git",https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-uUEqcx71MRdzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
art technology and software india pvt ltd,"rest, python, database, django, api",https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-LwuulL9CkdpzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
botree technologies,"securitycompliance, python, html5, svn, javascript, database, django, git, webdeveloper, debugging",https://www.timesjobs.com/job-detail/python-developers-botree-technologies-ahmedabad-3-to-6-yrs-jobid-xhDevqL0eMBzpSvf__PLUS__uAgZw==&source=srp,Posted 3 days ago
Infocom Software,"rest, python, css, html5, machinelearning, artificialintelligence, javascript, jquery, security, django, debugging",https://www.timesjobs.com/job-detail/python-developer-infocom-software-thiruvananthapuram-0-to-3-yrs-jobid-V147mtj6vgFzpSvf__PLUS__uAgZw==&source=srp,Posted 3 days ago
Tessolve Semiconductor Pvt. Ltd.,"pythondevelopment, djangoframework, oopprinciples, restfulapis, sqldatabase, postgresql, softwareengineer, mysql, forms",https://www.timesjobs.com/job-detail/python-developer-tessolve-semiconductor-pvt-ltd-bengaluru-bangalore-null-3-to-5-yrs-jobid-p2HeUHgaLM5zpSvf__PLUS__uAgZw==&source=srp,Posted 5 days ago
mspring infotech,"python, javascript, sql, php, html5, c, css, bootstrap, ruby, drupal, magento",https://www.timesjobs.com/job-detail/python-developer-mspring-infotech-chennai-5-to-7-yrs-jobid-J8yqg__SLASH__693CJzpSvf__PLUS__uAgZw==&source=srp,Posted 6 days ago
virtusa consulting services pvt. ltd.,"python, backenddevelopment, machinelearning, databaseconcepts, restfulapis, algorithms, restapi, django",https://www.timesjobs.com/job-detail/python-developer-virtusa-consulting-services-pvt-ltd-chennai-7-to-8-yrs-jobid-bYOPfRFEP99zpSvf__PLUS__uAgZw==&source=srp,Posted 6 days ago
virtusa consulting services pvt. ltd.,"pythonproficiency, backenddevelopment, machinelearningoptimization, databaseconcepts, restfulapisdesign, algorithms, restapi, django",https://www.timesjobs.com/job-detail/python-developer-virtusa-consulting-services-pvt-ltd-chennai-7-to-8-yrs-jobid-bfw6WFKaHXpzpSvf__PLUS__uAgZw==&source=srp,Posted 6 days ago
dynamisch it pvt ltd,"python, djangoframework, postgresql, apidevelopment, admindashboarddevelopment, html5, heroku, javascript",https://www.timesjobs.com/job-detail/python-developer-dynamisch-it-pvt-ltd-pune-4-to-9-yrs-jobid-vlIWwZmIkNFzpSvf__PLUS__uAgZw==&source=srp,Posted 6 days ago
zenga tv,"python, django, html5, javascript",https://www.timesjobs.com/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-cQGeFhRqgNdzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
INFINITY GROUP,"python, css, django, html, bootstrap",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-WKzksjq__PLUS__GXxzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
DREAMAJAX TECHNOLOGIES,"python, django, api, sql, nosql",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-55iKtddZNCdzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
Datagrid Solutions,"python, database, django, mysql, api",https://www.timesjobs.com/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-hdLfInxHIFxzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
virtusa consulting services pvt. ltd.,"python, django, flask, sql, devops, seniorsoftwareengineer, debugging, mysql, shellscripting, javascript, nosql, unix",https://www.timesjobs.com/job-detail/python-developer-virtusa-consulting-services-pvt-ltd-chennai-7-to-9-yrs-jobid-5LpvYjlkrQJzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
virtusa consulting services pvt. ltd.,"**automationtesting, functionaltesting, python, unittesting, debugging**, qa",https://www.timesjobs.com/job-detail/qa-python-virtusa-consulting-services-pvt-ltd-7-to-8-yrs-jobid-zEEHRt7djcxzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
xonier technologies pvt ltd,"python, django, testingtools, debugging, storage",https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-zOHQ8Tw7IgRzpSvf__PLUS__uAgZw==&source=srp,Posted few days ago
